Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:39:30:815.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:39:30:835.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 20 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku de-bello-gallico.txt znaleziono 20512 slow, w tym  5673 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|______________________________________________|_______________________________________|
|a_____________________________________________|117____________________________________|
|ab____________________________________________|138____________________________________|
|abdiderant____________________________________|2______________________________________|
|abdiderunt____________________________________|1______________________________________|
|abditi________________________________________|2______________________________________|
|abduci________________________________________|1______________________________________|
|aberant_______________________________________|1______________________________________|
|aberat________________________________________|5______________________________________|
|abesse________________________________________|5______________________________________|
|abessent______________________________________|2______________________________________|
|abesset_______________________________________|4______________________________________|
|abest_________________________________________|1______________________________________|
|abiectis______________________________________|2______________________________________|
|abscisis______________________________________|1______________________________________|
|absente_______________________________________|1______________________________________|
|absentibus____________________________________|1______________________________________|
|absentisque___________________________________|1______________________________________|
|absimili______________________________________|1______________________________________|
|absint________________________________________|1______________________________________|
|abstinebat____________________________________|1______________________________________|
|abstraetos____________________________________|1______________________________________|
|absunt________________________________________|2______________________________________|
|ac____________________________________________|100____________________________________|
|accedebant____________________________________|1______________________________________|
|accedebat_____________________________________|2______________________________________|
|accedere______________________________________|2______________________________________|
|accederent____________________________________|1______________________________________|
|accensus______________________________________|1______________________________________|
|acceperat_____________________________________|1______________________________________|
|acceperint____________________________________|1______________________________________|
|accepisse_____________________________________|1______________________________________|
|accepissent___________________________________|1______________________________________|
|accepit_______________________________________|1______________________________________|
|accepta_______________________________________|1______________________________________|
|acceptis______________________________________|7______________________________________|
|accepto_______________________________________|1______________________________________|
|accepturos____________________________________|1______________________________________|
|acceptus______________________________________|1______________________________________|
|accessisset___________________________________|3______________________________________|
|accessit______________________________________|3______________________________________|
|accidat_______________________________________|3______________________________________|
|acciderat_____________________________________|2______________________________________|
|accidere______________________________________|2______________________________________|
|acciderent____________________________________|3______________________________________|
|accideret_____________________________________|1______________________________________|
|accidisse_____________________________________|3______________________________________|
|accidissent___________________________________|1______________________________________|
|accidisset____________________________________|2______________________________________|
|accidit_______________________________________|5______________________________________|
|accipere______________________________________|1______________________________________|
|acciperent____________________________________|1______________________________________|
|accipiendas___________________________________|1______________________________________|
|accipit_______________________________________|1______________________________________|
