Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:41:58:337.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:41:58:513.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 176 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku faraon.txt znaleziono 203222 slow, w tym  30342 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|______________________________________________|_______________________________________|
|1895__________________________________________|1______________________________________|
|2_____________________________________________|1______________________________________|
|3_____________________________________________|1______________________________________|
|3500__________________________________________|1______________________________________|
|a_____________________________________________|2191___________________________________|
|aa____________________________________________|15_____________________________________|
|aaa~~~________________________________________|2______________________________________|
|ab____________________________________________|1______________________________________|
|abalidot______________________________________|2______________________________________|
|abeb__________________________________________|1______________________________________|
|abrahama______________________________________|4______________________________________|
|abs___________________________________________|2______________________________________|
|absu__________________________________________|1______________________________________|
|aby___________________________________________|249____________________________________|
|abydos________________________________________|8______________________________________|
|abydos~~~_____________________________________|5______________________________________|
|abym__________________________________________|24_____________________________________|
|aby~~_________________________________________|15_____________________________________|
|aby~~cie______________________________________|4______________________________________|
|aby~~my_______________________________________|3______________________________________|
|ach___________________________________________|21_____________________________________|
|acha__________________________________________|1______________________________________|
|achillesa~~~__________________________________|1______________________________________|
|achsibu~~~____________________________________|1______________________________________|
|ach~~~________________________________________|1______________________________________|
|aczkolwiek____________________________________|1______________________________________|
|adam__________________________________________|1______________________________________|
|adiutanci_____________________________________|2______________________________________|
|adiutant______________________________________|27_____________________________________|
|adiutanta_____________________________________|1______________________________________|
|adiutanta~~~__________________________________|1______________________________________|
|adiutantowi___________________________________|3______________________________________|
|adiutant~~w___________________________________|4______________________________________|
|administracji_________________________________|1______________________________________|
|administracj~~________________________________|1______________________________________|
|administracyjne_______________________________|1______________________________________|
|administracyjnych_____________________________|1______________________________________|
