Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 17:20:12:769.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 17:20:12:791.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 22 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku makbet.txt znaleziono 18095 slow, w tym  3375 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie posortowany alfabetycznie
oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|______________________________________________|_______________________________________|
|a_____________________________________________|248____________________________________|
|abed__________________________________________|1______________________________________|
|abhorred______________________________________|1______________________________________|
|abide_________________________________________|2______________________________________|
|abjure________________________________________|1______________________________________|
|abound________________________________________|1______________________________________|
|about_________________________________________|12_____________________________________|
|above_________________________________________|3______________________________________|
|abroad________________________________________|2______________________________________|
|absence_______________________________________|2______________________________________|
|absent________________________________________|1______________________________________|
|absolute______________________________________|3______________________________________|
|abuse_________________________________________|1______________________________________|
|accents_______________________________________|1______________________________________|
|access________________________________________|1______________________________________|
|accompany_____________________________________|1______________________________________|
|according_____________________________________|2______________________________________|
|account_______________________________________|1______________________________________|
|accounted_____________________________________|1______________________________________|
|accountyet____________________________________|1______________________________________|
|accursed______________________________________|4______________________________________|
|accustomed____________________________________|1______________________________________|
|acheron_______________________________________|1______________________________________|
|acquaint______________________________________|1______________________________________|
|act___________________________________________|9______________________________________|
|acted_________________________________________|1______________________________________|
|acting________________________________________|1______________________________________|
|action________________________________________|1______________________________________|
|actions_______________________________________|1______________________________________|
|acts__________________________________________|1______________________________________|
|actual________________________________________|1______________________________________|
|adage_________________________________________|1______________________________________|
|add___________________________________________|2______________________________________|
|added_________________________________________|1______________________________________|
|adders________________________________________|1______________________________________|
|addition______________________________________|2______________________________________|
|addressd______________________________________|1______________________________________|
|adhere________________________________________|1______________________________________|
|adieu_________________________________________|2______________________________________|
|admired_______________________________________|1______________________________________|
|advance_______________________________________|1______________________________________|
|advantage_____________________________________|1______________________________________|
|advice________________________________________|2______________________________________|
|advise________________________________________|2______________________________________|
|afeard________________________________________|3______________________________________|
|affair________________________________________|1______________________________________|
|affairs_______________________________________|1______________________________________|
|affection_____________________________________|1______________________________________|
|affeerd_______________________________________|1______________________________________|
|affliction____________________________________|1______________________________________|
|afoot_________________________________________|1______________________________________|
|afraid________________________________________|5______________________________________|
|after_________________________________________|6______________________________________|
|afternoon_____________________________________|1______________________________________|
|afterwards____________________________________|1______________________________________|
|again_________________________________________|20_____________________________________|
|againpullt____________________________________|1______________________________________|
|against_______________________________________|14_____________________________________|
|age___________________________________________|2______________________________________|
|agent_________________________________________|1______________________________________|
|agents________________________________________|1______________________________________|
|agitation_____________________________________|1______________________________________|
|ague__________________________________________|1______________________________________|
|ah____________________________________________|1______________________________________|
|aid___________________________________________|3______________________________________|
|aim___________________________________________|1______________________________________|
|air___________________________________________|14_____________________________________|
|airdrawn______________________________________|1______________________________________|
|alack_________________________________________|1______________________________________|
|alarm_________________________________________|1______________________________________|
|alarum________________________________________|1______________________________________|
|alarumbell____________________________________|2______________________________________|
|alarumd_______________________________________|1______________________________________|
|alarums_______________________________________|5______________________________________|
|alas__________________________________________|4______________________________________|
|aleppo________________________________________|1______________________________________|
|alike_________________________________________|1______________________________________|
|alive_________________________________________|3______________________________________|
|all___________________________________________|98_____________________________________|
|allegiance____________________________________|1______________________________________|
|allhail_______________________________________|1______________________________________|
|allhailed_____________________________________|1______________________________________|
|alls__________________________________________|4______________________________________|
|allthing______________________________________|1______________________________________|
|almost________________________________________|8______________________________________|
|alone_________________________________________|3______________________________________|
|aloud_________________________________________|1______________________________________|
|already_______________________________________|4______________________________________|
|also__________________________________________|1______________________________________|
|alter_________________________________________|1______________________________________|
|always________________________________________|1______________________________________|
|am____________________________________________|30_____________________________________|
|amaking_______________________________________|1______________________________________|
|amazed________________________________________|2______________________________________|
|amazedly______________________________________|1______________________________________|
|amazement_____________________________________|1______________________________________|
|ambition______________________________________|3______________________________________|
|amen__________________________________________|5______________________________________|
|amend_________________________________________|1______________________________________|
|amends________________________________________|1______________________________________|
|amiss_________________________________________|1______________________________________|
|among_________________________________________|1______________________________________|
|an____________________________________________|30_____________________________________|
|and___________________________________________|565____________________________________|
|angel_________________________________________|2______________________________________|
|angels________________________________________|2______________________________________|
|anger_________________________________________|1______________________________________|
|angerd________________________________________|1______________________________________|
|angerly_______________________________________|1______________________________________|
|angry_________________________________________|1______________________________________|
|angus_________________________________________|10_____________________________________|
|annoyance_____________________________________|1______________________________________|
|anointed______________________________________|1______________________________________|
|anon__________________________________________|6______________________________________|
|anoncomes_____________________________________|1______________________________________|
|another_______________________________________|8______________________________________|
|answer________________________________________|5______________________________________|
|ant___________________________________________|1______________________________________|
|anteroom______________________________________|1______________________________________|
|antic_________________________________________|1______________________________________|
|anticipatest__________________________________|1______________________________________|
|antidote______________________________________|1______________________________________|
|antonys_______________________________________|1______________________________________|
|any___________________________________________|8______________________________________|
|apace_________________________________________|1______________________________________|
|apart_________________________________________|1______________________________________|
|appal_________________________________________|1______________________________________|
|appals________________________________________|1______________________________________|
|apparition____________________________________|7______________________________________|
|apparitions___________________________________|1______________________________________|
|appear________________________________________|1______________________________________|
|appears_______________________________________|2______________________________________|
|appease_______________________________________|1______________________________________|
|appetite______________________________________|1______________________________________|
|applaud_______________________________________|3______________________________________|
|apply_________________________________________|1______________________________________|
|appoint_______________________________________|1______________________________________|
|approach______________________________________|4______________________________________|
|approaches____________________________________|2______________________________________|
|approaching___________________________________|1______________________________________|
|approve_______________________________________|1______________________________________|
|arabia________________________________________|1______________________________________|
|arbitrate_____________________________________|1______________________________________|
|are___________________________________________|73_____________________________________|
|argument______________________________________|1______________________________________|
|aright________________________________________|1______________________________________|
|arm___________________________________________|4______________________________________|
|armd__________________________________________|2______________________________________|
|armed_________________________________________|1______________________________________|
|armour________________________________________|3______________________________________|
|arms__________________________________________|2______________________________________|
|army__________________________________________|1______________________________________|
|aroint________________________________________|1______________________________________|
|arrived_______________________________________|1______________________________________|
|art___________________________________________|18_____________________________________|
|artificial____________________________________|1______________________________________|
|as____________________________________________|90_____________________________________|
|aside_________________________________________|11_____________________________________|
|ask___________________________________________|1______________________________________|
|askd__________________________________________|2______________________________________|
|asleep________________________________________|2______________________________________|
|assailable____________________________________|1______________________________________|
|assassination_________________________________|1______________________________________|
|assault_______________________________________|1______________________________________|
|assay_________________________________________|1______________________________________|
|assistance____________________________________|1______________________________________|
|assisted______________________________________|1______________________________________|
|assurance_____________________________________|1______________________________________|
|at____________________________________________|53_____________________________________|
|attempt_______________________________________|2______________________________________|
|attend________________________________________|5______________________________________|
|attendant_____________________________________|5______________________________________|
|attendants____________________________________|6______________________________________|
|attended______________________________________|1______________________________________|
|attire________________________________________|1______________________________________|
|audit_________________________________________|1______________________________________|
|augerhole_____________________________________|1______________________________________|
|aught_________________________________________|1______________________________________|
|augment_______________________________________|1______________________________________|
|augurs________________________________________|1______________________________________|
|authorized____________________________________|1______________________________________|
|avarice_______________________________________|2______________________________________|
|avaricious____________________________________|1______________________________________|
|avaunt________________________________________|1______________________________________|
|avoid_________________________________________|1______________________________________|
|avoided_______________________________________|1______________________________________|
|avouch________________________________________|1______________________________________|
|avouches______________________________________|1______________________________________|
|awake_________________________________________|3______________________________________|
|awaked________________________________________|2______________________________________|
|away__________________________________________|11_____________________________________|
|aweary________________________________________|1______________________________________|
|ay____________________________________________|17_____________________________________|
|aye___________________________________________|1______________________________________|
|babe__________________________________________|3______________________________________|
|babes_________________________________________|3______________________________________|
|baboons_______________________________________|1______________________________________|
|baby__________________________________________|1______________________________________|
|babybrow______________________________________|1______________________________________|
|back__________________________________________|6______________________________________|
|backs_________________________________________|1______________________________________|
|backward______________________________________|1______________________________________|
|bad___________________________________________|2______________________________________|
|bade__________________________________________|3______________________________________|
|badged________________________________________|1______________________________________|
|baited________________________________________|1______________________________________|
|bake__________________________________________|1______________________________________|
|balls_________________________________________|1______________________________________|
|balm__________________________________________|1______________________________________|
|bane__________________________________________|1______________________________________|
|banishd_______________________________________|1______________________________________|
|bank__________________________________________|1______________________________________|
|banners_______________________________________|2______________________________________|
|banquet_______________________________________|2______________________________________|
|banquets______________________________________|1______________________________________|
|banquo________________________________________|71_____________________________________|
|banquos_______________________________________|5______________________________________|
|bare__________________________________________|1______________________________________|
|barefaced_____________________________________|1______________________________________|
|bark__________________________________________|1______________________________________|
|barren________________________________________|1______________________________________|
|basis_________________________________________|1______________________________________|
|bat___________________________________________|2______________________________________|
|bath__________________________________________|1______________________________________|
|bathe_________________________________________|1______________________________________|
|batterd_______________________________________|1______________________________________|
|battle________________________________________|1______________________________________|
|battlements___________________________________|2______________________________________|
|battles_______________________________________|1______________________________________|
|be____________________________________________|137____________________________________|
|beall_________________________________________|1______________________________________|
|bear__________________________________________|10_____________________________________|
|beard_________________________________________|2______________________________________|
|beards________________________________________|1______________________________________|
|bearing_______________________________________|1______________________________________|
|bearlike______________________________________|1______________________________________|
|bears_________________________________________|2______________________________________|
|beart_________________________________________|1______________________________________|
|beast_________________________________________|1______________________________________|
|beat__________________________________________|2______________________________________|
|beaten________________________________________|1______________________________________|
|beauteous_____________________________________|1______________________________________|
|became________________________________________|2______________________________________|
|become________________________________________|4______________________________________|
|bed___________________________________________|11_____________________________________|
|beds__________________________________________|1______________________________________|
|beelzebub_____________________________________|1______________________________________|
|been__________________________________________|22_____________________________________|
|beetle________________________________________|1______________________________________|
|before________________________________________|25_____________________________________|
|beg___________________________________________|2______________________________________|
|began_________________________________________|3______________________________________|
|beggard_______________________________________|1______________________________________|
|begin_________________________________________|2______________________________________|
|beguile_______________________________________|1______________________________________|
|begun_________________________________________|2______________________________________|
|behind________________________________________|1______________________________________|
|behold________________________________________|3______________________________________|
|beholdseyton__________________________________|1______________________________________|
|being_________________________________________|10_____________________________________|
|beldams_______________________________________|1______________________________________|
|belief________________________________________|2______________________________________|
|believe_______________________________________|3______________________________________|
|believed______________________________________|1______________________________________|
|bell__________________________________________|5______________________________________|
|bellman_______________________________________|1______________________________________|
|bellonas______________________________________|1______________________________________|
|belt__________________________________________|1______________________________________|
|bend__________________________________________|1______________________________________|
|beneath_______________________________________|1______________________________________|
|benediction___________________________________|1______________________________________|
|benefit_______________________________________|1______________________________________|
|benison_______________________________________|1______________________________________|
|bent__________________________________________|1______________________________________|
|beside________________________________________|2______________________________________|
|besides_______________________________________|3______________________________________|
|best__________________________________________|9______________________________________|
|bestowd_______________________________________|1______________________________________|
|bestows_______________________________________|1______________________________________|
|bestride______________________________________|1______________________________________|
|bet___________________________________________|1______________________________________|
|betimes_______________________________________|2______________________________________|
|betray________________________________________|1______________________________________|
|betrays_______________________________________|1______________________________________|
|better________________________________________|8______________________________________|
|between_______________________________________|2______________________________________|
|beware________________________________________|2______________________________________|
|beyond________________________________________|2______________________________________|
|bid___________________________________________|7______________________________________|
|bidding_______________________________________|1______________________________________|
|bides_________________________________________|1______________________________________|
|bids__________________________________________|1______________________________________|
|bill__________________________________________|1______________________________________|
|bind__________________________________________|1______________________________________|
|bird__________________________________________|3______________________________________|
|birds_________________________________________|3______________________________________|
|birnam________________________________________|11_____________________________________|
|birth_________________________________________|1______________________________________|
|birthdom______________________________________|1______________________________________|
|birthstrangled________________________________|1______________________________________|
|black_________________________________________|8______________________________________|
|blade_________________________________________|2______________________________________|
|bladed________________________________________|1______________________________________|
|blame_________________________________________|2______________________________________|
|blames________________________________________|1______________________________________|
|blanched______________________________________|1______________________________________|
|blanket_______________________________________|1______________________________________|
|blaspheme_____________________________________|1______________________________________|
|blaspheming___________________________________|1______________________________________|
|blast_________________________________________|1______________________________________|
|blasted_______________________________________|1______________________________________|
|bleed_________________________________________|4______________________________________|
|bleeding______________________________________|2______________________________________|
|bleeds________________________________________|1______________________________________|
|bless_________________________________________|3______________________________________|
|blessed_______________________________________|1______________________________________|
|blessing______________________________________|3______________________________________|
|blessings_____________________________________|1______________________________________|
|blindworms____________________________________|1______________________________________|
|blisters______________________________________|1______________________________________|
|blood_________________________________________|23_____________________________________|
|bloodbolterd__________________________________|1______________________________________|
|bloodier______________________________________|1______________________________________|
|bloody________________________________________|15_____________________________________|
|bloodyscepterd________________________________|1______________________________________|
|blow__________________________________________|4______________________________________|
|blown_________________________________________|2______________________________________|
|blows_________________________________________|1______________________________________|
|blunt_________________________________________|1______________________________________|
|boasting______________________________________|1______________________________________|
|bodements_____________________________________|1______________________________________|
|body__________________________________________|3______________________________________|
|boil__________________________________________|3______________________________________|
|boiling_______________________________________|1______________________________________|
|bold__________________________________________|4______________________________________|
|bond__________________________________________|2______________________________________|
|boneless______________________________________|1______________________________________|
|bones_________________________________________|3______________________________________|
|bonfire_______________________________________|1______________________________________|
|book__________________________________________|1______________________________________|
|boot__________________________________________|1______________________________________|
|bore__________________________________________|1______________________________________|
|born__________________________________________|8______________________________________|
|borne_________________________________________|5______________________________________|
|borrowd_______________________________________|1______________________________________|
|borrower______________________________________|1______________________________________|
|bosom_________________________________________|4______________________________________|
|bosoms________________________________________|2______________________________________|
|botches_______________________________________|1______________________________________|
|both__________________________________________|20_____________________________________|
|bottom________________________________________|1______________________________________|
|bough_________________________________________|1______________________________________|
|boughs________________________________________|1______________________________________|
|bought________________________________________|2______________________________________|
|bound_________________________________________|1______________________________________|
|boundless_____________________________________|1______________________________________|
|bounteous_____________________________________|1______________________________________|
|bounty________________________________________|1______________________________________|
|bove__________________________________________|1______________________________________|
|bowd__________________________________________|1______________________________________|
|boy___________________________________________|3______________________________________|
|brag__________________________________________|1______________________________________|
|braggart______________________________________|1______________________________________|
|brain_________________________________________|4______________________________________|
|brains________________________________________|2______________________________________|
|brainsickly___________________________________|1______________________________________|
|brandishd_____________________________________|2______________________________________|
|brave_________________________________________|2______________________________________|
|bravely_______________________________________|1______________________________________|
|breach________________________________________|1______________________________________|
|break_________________________________________|4______________________________________|
|breast________________________________________|2______________________________________|
|breasts_______________________________________|1______________________________________|
|breath________________________________________|7______________________________________|
|breechd_______________________________________|1______________________________________|
|breed_________________________________________|4______________________________________|
|brewd_________________________________________|1______________________________________|
|bridegroom____________________________________|1______________________________________|
|brief_________________________________________|1______________________________________|
|briefly_______________________________________|1______________________________________|
|bright________________________________________|2______________________________________|
|brightest_____________________________________|1______________________________________|
|brinded_______________________________________|1______________________________________|
|bring_________________________________________|9______________________________________|
|brings________________________________________|1______________________________________|
|broad_________________________________________|3______________________________________|
|broil_________________________________________|1______________________________________|
|broke_________________________________________|4______________________________________|
|brother_______________________________________|1______________________________________|
|brought_______________________________________|2______________________________________|
|brow__________________________________________|1______________________________________|
|brows_________________________________________|2______________________________________|
|bruited_______________________________________|1______________________________________|
|bubble________________________________________|4______________________________________|
|bubbles_______________________________________|1______________________________________|
|buckle________________________________________|1______________________________________|
|buffets_______________________________________|1______________________________________|
|building______________________________________|1______________________________________|
|built_________________________________________|1______________________________________|
|burial________________________________________|1______________________________________|
|buried________________________________________|1______________________________________|
|burn__________________________________________|4______________________________________|
|burned________________________________________|1______________________________________|
|bury__________________________________________|1______________________________________|
|business______________________________________|9______________________________________|
|but___________________________________________|124____________________________________|
|butcher_______________________________________|1______________________________________|
|buttress______________________________________|1______________________________________|
|buy___________________________________________|2______________________________________|
|by____________________________________________|48_____________________________________|
|c_____________________________________________|2______________________________________|
|cabind________________________________________|1______________________________________|
|caesar________________________________________|1______________________________________|
|caithness_____________________________________|5______________________________________|
|calendar______________________________________|1______________________________________|
|call__________________________________________|10_____________________________________|
|calld_________________________________________|5______________________________________|
|calling_______________________________________|1______________________________________|
|calls_________________________________________|3______________________________________|
|callst________________________________________|1______________________________________|
|came__________________________________________|6______________________________________|
|camest________________________________________|1______________________________________|
|camp__________________________________________|1______________________________________|
|can___________________________________________|24_____________________________________|
|cancel________________________________________|1______________________________________|
|candle________________________________________|1______________________________________|
|candles_______________________________________|1______________________________________|
|cannons_______________________________________|1______________________________________|
|cannot________________________________________|20_____________________________________|
|canst_________________________________________|3______________________________________|
|capital_______________________________________|1______________________________________|
|caps__________________________________________|1______________________________________|
|captains______________________________________|1______________________________________|
|captivity_____________________________________|1______________________________________|
|card__________________________________________|1______________________________________|
|care__________________________________________|5______________________________________|
|careless______________________________________|1______________________________________|
|carousing_____________________________________|1______________________________________|
|carried_______________________________________|2______________________________________|
|carry_________________________________________|2______________________________________|
|carved________________________________________|1______________________________________|
|cases_________________________________________|1______________________________________|
|casing________________________________________|1______________________________________|
|cast__________________________________________|3______________________________________|
|castle________________________________________|14_____________________________________|
|castles_______________________________________|3______________________________________|
|cat___________________________________________|2______________________________________|
|catalogue_____________________________________|1______________________________________|
|catch_________________________________________|3______________________________________|
|cauldron______________________________________|9______________________________________|
|cause_________________________________________|5______________________________________|
|causes________________________________________|2______________________________________|
|caution_______________________________________|2______________________________________|
|cavern________________________________________|1______________________________________|
|cawdor________________________________________|21_____________________________________|
|cease_________________________________________|1______________________________________|
|celebrates____________________________________|1______________________________________|
|censures______________________________________|1______________________________________|
|ceremony______________________________________|1______________________________________|
|certain_______________________________________|5______________________________________|
|chafes________________________________________|1______________________________________|
|chalice_______________________________________|1______________________________________|
|challenge_____________________________________|1______________________________________|
|chamber_______________________________________|6______________________________________|
|chamberlains__________________________________|1______________________________________|
|chambers______________________________________|1______________________________________|
|champion______________________________________|1______________________________________|
|chance________________________________________|5______________________________________|
|chanced_______________________________________|1______________________________________|
|chappy________________________________________|1______________________________________|
|chaps_________________________________________|1______________________________________|
|charge________________________________________|3______________________________________|
|charged_______________________________________|2______________________________________|
|charm_________________________________________|4______________________________________|
|charmed_______________________________________|2______________________________________|
|charms________________________________________|3______________________________________|
|charnelhouses_________________________________|1______________________________________|
|chastise______________________________________|1______________________________________|
|chaudron______________________________________|1______________________________________|
|cheaply_______________________________________|1______________________________________|
|cheeks________________________________________|2______________________________________|
|cheer_________________________________________|4______________________________________|
|cheque________________________________________|1______________________________________|
|cherubim______________________________________|1______________________________________|
|chestnuts_____________________________________|1______________________________________|
|chickens______________________________________|1______________________________________|
|chid__________________________________________|1______________________________________|
|chief_________________________________________|2______________________________________|
|chiefest______________________________________|1______________________________________|
|child_________________________________________|4______________________________________|
|childhood_____________________________________|1______________________________________|
|children______________________________________|7______________________________________|
|childrens_____________________________________|1______________________________________|
|chimneys______________________________________|1______________________________________|
|choke_________________________________________|1______________________________________|
|choughs_______________________________________|1______________________________________|
|christendom___________________________________|1______________________________________|
|chuck_________________________________________|1______________________________________|
|churches______________________________________|1______________________________________|
|cistern_______________________________________|1______________________________________|
|claim_________________________________________|1______________________________________|
|clamorous_____________________________________|1______________________________________|
|clamour_______________________________________|1______________________________________|
|clamourd______________________________________|1______________________________________|
