Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:49:19:29.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:49:19:154.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 125 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku ziemia-obiecana.txt znaleziono 179358 slow, w tym  28742 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|______________________________________________|_______________________________________|
|000___________________________________________|1______________________________________|
|032___________________________________________|1______________________________________|
|1_____________________________________________|4______________________________________|
|10____________________________________________|2______________________________________|
|11____________________________________________|2______________________________________|
|117___________________________________________|1______________________________________|
|12____________________________________________|1______________________________________|
|120___________________________________________|1______________________________________|
|15____________________________________________|1______________________________________|
|18____________________________________________|1______________________________________|
|18978_________________________________________|1______________________________________|
|18~~~_________________________________________|1______________________________________|
|1920__________________________________________|1______________________________________|
|20____________________________________________|1______________________________________|
|22____________________________________________|2______________________________________|
|25____________________________________________|2______________________________________|
|28____________________________________________|1______________________________________|
|30____________________________________________|1______________________________________|
|300___________________________________________|2______________________________________|
|303___________________________________________|1______________________________________|
|309___________________________________________|1______________________________________|
|333___________________________________________|1______________________________________|
|36____________________________________________|2______________________________________|
|360___________________________________________|1______________________________________|
|4_____________________________________________|2______________________________________|
|400___________________________________________|1______________________________________|
|50____________________________________________|1______________________________________|
|500___________________________________________|2______________________________________|
|614___________________________________________|1______________________________________|
|618___________________________________________|1______________________________________|
|682___________________________________________|1______________________________________|
|685___________________________________________|1______________________________________|
|7_____________________________________________|1______________________________________|
|719___________________________________________|1______________________________________|
|75____________________________________________|1______________________________________|
|771___________________________________________|1______________________________________|
|791___________________________________________|1______________________________________|
|794___________________________________________|1______________________________________|
|8_____________________________________________|3______________________________________|
|850___________________________________________|1______________________________________|
|852___________________________________________|1______________________________________|
|a_____________________________________________|1659___________________________________|
|aaa___________________________________________|2______________________________________|
|abnegacji_____________________________________|1______________________________________|
|abnegacj~~____________________________________|1______________________________________|
|abo___________________________________________|4______________________________________|
|abo~~~________________________________________|1______________________________________|
|abraam________________________________________|1______________________________________|
|absolutnej____________________________________|1______________________________________|
|absolutnie____________________________________|2______________________________________|
|absolutnym____________________________________|1______________________________________|
|absolutyzmu___________________________________|1______________________________________|
|absorbowa~~a__________________________________|1______________________________________|
|aby___________________________________________|208____________________________________|
|abym__________________________________________|13_____________________________________|
|aby~~_________________________________________|4______________________________________|
|ach___________________________________________|15_____________________________________|
|aczkolwiek____________________________________|1______________________________________|
|adam__________________________________________|80_____________________________________|
|adama_________________________________________|17_____________________________________|
|adamaszkiem___________________________________|2______________________________________|
|adamem________________________________________|2______________________________________|
|adamie________________________________________|5______________________________________|
|adamowi_______________________________________|4______________________________________|
|adasia________________________________________|1______________________________________|
|ada~~_________________________________________|4______________________________________|
|adepta________________________________________|1______________________________________|
|adler_________________________________________|1______________________________________|
|administracja_________________________________|1______________________________________|
|administracji_________________________________|2______________________________________|
|administracj~~________________________________|2______________________________________|
|admirowano____________________________________|1______________________________________|
|adres_________________________________________|3______________________________________|
|adresem_______________________________________|5______________________________________|
|adresu________________________________________|1______________________________________|
|adresy________________________________________|1______________________________________|
|adres~~w______________________________________|1______________________________________|
|adwokat_______________________________________|2______________________________________|
|adwokata______________________________________|2______________________________________|
|adwokatem_____________________________________|1______________________________________|
|adwokat~~w____________________________________|1______________________________________|
|ady~~_________________________________________|8______________________________________|
|ady~~~~~______________________________________|1______________________________________|
|ad~~__________________________________________|1______________________________________|
|afera_________________________________________|3______________________________________|
|aferzysty_____________________________________|1______________________________________|
|aferzyst~~____________________________________|1______________________________________|
|afer~~________________________________________|1______________________________________|
|aforyzm~~w____________________________________|1______________________________________|
|agato_________________________________________|15_____________________________________|
|agat~~________________________________________|1______________________________________|
|agentem_______________________________________|1______________________________________|
|agentury______________________________________|2______________________________________|
|agenturze_____________________________________|3______________________________________|
|agentur~~_____________________________________|2______________________________________|
|agent~~w______________________________________|3______________________________________|
|agoni~~_______________________________________|1______________________________________|
|agrafie_______________________________________|1______________________________________|
|agrestem______________________________________|1______________________________________|
|agrestu_______________________________________|2______________________________________|
