Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 30.12.2019 o godzinie 19:47:23:268.
Program zakonczyl dzialanie o 30.12.2019 o godzinie 19:47:23:287.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 18 milisekund, 933 mikrosekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku hamlet.txt znaleziono 31952 slow, w tym 4790 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie posortowany alfabetycznie
oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|______________________________________________|_______________________________________|
|1_____________________________________________|6______________________________________|
|a_____________________________________________|558____________________________________|
|abate_________________________________________|1______________________________________|
|abatements____________________________________|1______________________________________|
|abhorred______________________________________|1______________________________________|
|ability_______________________________________|1______________________________________|
|able__________________________________________|1______________________________________|
|aboard________________________________________|3______________________________________|
|abominably____________________________________|1______________________________________|
|about_________________________________________|18_____________________________________|
|above_________________________________________|4______________________________________|
|abridgment____________________________________|1______________________________________|
|abroad________________________________________|1______________________________________|
|absent________________________________________|1______________________________________|
|absolute______________________________________|2______________________________________|
|abstinence____________________________________|1______________________________________|
|abstract______________________________________|1______________________________________|
|absurd________________________________________|2______________________________________|
|abusd_________________________________________|1______________________________________|
|abuse_________________________________________|1______________________________________|
|abuses________________________________________|1______________________________________|
|accent________________________________________|2______________________________________|
|accepts_______________________________________|1______________________________________|
|access________________________________________|1______________________________________|
|accident______________________________________|3______________________________________|
|accidental____________________________________|1______________________________________|
|accidents_____________________________________|1______________________________________|
|accord________________________________________|1______________________________________|
|according_____________________________________|2______________________________________|
|account_______________________________________|1______________________________________|
|accounted_____________________________________|1______________________________________|
|accurst_______________________________________|1______________________________________|
|accuse________________________________________|1______________________________________|
|ache__________________________________________|1______________________________________|
|achievements__________________________________|1______________________________________|
|acquaint______________________________________|1______________________________________|
|acquire_______________________________________|1______________________________________|
|acquittance___________________________________|1______________________________________|
|acres_________________________________________|1______________________________________|
|across________________________________________|1______________________________________|
|act___________________________________________|19_____________________________________|
|acted_________________________________________|1______________________________________|
|acting________________________________________|1______________________________________|
|action________________________________________|10_____________________________________|
|actions_______________________________________|2______________________________________|
|actively______________________________________|1______________________________________|
|actor_________________________________________|3______________________________________|
|actors________________________________________|2______________________________________|
|acts__________________________________________|2______________________________________|
|acursing______________________________________|1______________________________________|
|adam__________________________________________|1______________________________________|
|adams_________________________________________|1______________________________________|
|adders________________________________________|1______________________________________|
|addicted______________________________________|1______________________________________|
|addition______________________________________|3______________________________________|
|address_______________________________________|1______________________________________|
|adheres_______________________________________|1______________________________________|
|adieu_________________________________________|8______________________________________|
|adjoind_______________________________________|1______________________________________|
|admirable_____________________________________|1______________________________________|
|admiration____________________________________|3______________________________________|
|admit_________________________________________|2______________________________________|
|admittance____________________________________|1______________________________________|
|adoption______________________________________|1______________________________________|
|adown_________________________________________|2______________________________________|
|adowna________________________________________|1______________________________________|
|adulterate____________________________________|1______________________________________|
